13	147	184
13	144	184
12	139	187
12	134	189
12	130	191
12	126	193
12	123	196
12	122	198
12	122	199
12	121	200
12	118	200
12	114	200
11	109	201
11	104	201
11	99	199
11	94	198
11	92	198
11	90	198
11	89	199
11	89	199
13	143	185
12	141	186
12	136	188
12	132	190
12	128	192
12	124	195
12	121	197
12	120	199
12	120	200
12	119	200
12	116	200
12	112	201
11	107	201
11	101	201
11	96	200
11	92	199
11	90	199
11	88	199
11	88	199
11	87	200
12	134	190
12	132	191
12	129	192
12	125	194
12	121	196
12	116	198
12	114	200
12	113	202
12	113	202
12	113	202
12	111	202
11	106	202
11	101	203
11	95	203
11	91	203
11	87	202
11	85	201
11	84	201
11	83	201
11	83	202
12	125	193
12	125	193
12	121	194
12	118	195
12	114	197
12	110	200
12	108	202
12	107	203
12	108	202
11	107	202
11	105	202
11	100	203
11	95	203
11	89	204
11	84	204
10	81	204
11	79	203
11	78	203
11	78	203
11	78	204
12	120	194
12	119	194
12	116	195
12	112	196
12	108	197
12	104	200
12	102	201
12	102	202
12	103	201
11	102	202
11	100	202
11	95	202
11	90	203
11	85	204
11	80	204
10	76	204
11	74	204
10	74	204
11	73	205
10	73	205
12	116	195
12	115	196
12	111	196
11	107	197
11	104	198
11	100	200
12	99	201
11	99	201
11	99	201
11	99	201
11	96	201
11	92	202
11	87	202
11	82	203
11	78	203
10	74	204
11	72	204
10	70	205
11	70	205
11	70	206
12	114	196
12	113	197
11	109	198
11	105	199
11	101	199
11	98	200
11	96	202
11	96	202
11	96	202
11	96	202
11	93	202
11	90	203
11	87	202
11	82	202
11	78	202
10	74	203
10	71	204
10	69	205
10	68	205
10	68	206
12	115	197
12	114	198
11	110	200
11	106	201
11	101	201
11	98	202
11	96	203
11	96	203
11	96	203
11	95	203
11	94	204
11	91	205
11	87	204
11	84	204
11	80	203
10	76	203
10	72	203
10	69	205
10	68	206
10	68	206
12	119	197
12	117	197
12	113	199
11	108	201
11	104	202
11	100	203
11	99	204
11	98	204
11	98	204
11	98	204
11	96	205
11	93	205
11	90	205
11	87	204
10	83	203
10	79	203
10	75	202
10	71	203
10	69	204
10	69	205
12	126	195
12	124	196
12	119	198
11	113	200
11	108	202
11	105	203
11	103	204
11	102	204
11	103	203
11	102	203
11	102	203
11	98	204
11	95	204
11	92	204
10	89	203
10	84	202
10	78	202
9	73	202
9	71	204
9	71	204
12	132	194
12	130	194
12	125	196
11	119	198
11	113	200
11	109	202
11	107	202
11	107	202
11	107	201
11	106	201
11	106	201
11	104	202
11	101	202
11	98	201
11	94	200
10	90	199
10	83	198
9	78	199
9	75	200
9	75	201
12	139	191
11	136	192
11	131	193
11	125	196
11	119	198
11	114	199
11	112	199
11	112	199
11	112	198
11	112	198
11	111	198
11	109	199
11	107	198
11	105	197
11	101	196
11	96	196
10	88	195
10	83	195
10	80	196
10	80	196
12	145	186
11	143	187
11	137	189
11	130	193
11	124	195
11	119	196
11	117	195
11	116	195
11	116	194
11	116	194
11	115	194
11	114	194
11	113	193
11	111	192
11	108	190
11	103	188
11	96	186
10	92	183
10	92	179
11	92	177
12	147	185
11	145	186
11	139	188
11	132	191
11	125	193
11	120	194
11	119	193
11	118	193
11	118	193
11	118	193
11	117	192
11	116	192
11	114	191
11	114	190
11	111	188
11	104	187
11	97	185
11	93	181
11	94	176
11	94	174
9	121	170
9	120	170
9	118	170
8	116	168
8	115	166
9	113	165
9	111	165
10	110	166
10	110	166
11	110	166
11	111	166
11	110	166
10	109	166
10	108	167
10	107	167
9	104	168
9	101	168
8	97	166
8	93	164
7	87	161
6	81	159
5	74	157
4	68	155
4	66	154
9	124	168
9	122	168
9	120	168
8	117	167
9	115	165
9	114	164
9	112	164
9	111	165
10	110	165
11	111	165
11	112	166
